company_name,website,location,source_table
"Ritter Center",,"US",companies
"Enterprise Medical Recruiting",,"US",companies
"Integrated Psychiatric Consultants",,"US",companies
"Konza Prairie Community Health Center",,"US",companies
"Beth Israel Lahey Health",,"US",companies
"IMPOWER",,"Florida, US",companies
"HIAAH",,"US",companies
"Dartmouth Health",,"US",companies
"TBAC Group",,"US",companies
"Neighborhood Family Practice",,"US",companies
"Nystrom & Associates Ltd",,"US",companies
"Impact Health Pc",,"US",companies
"Bridges Healthcare",,"US",companies
"Bella Mental Health Services Llc",,"US",companies
"Sasco River Center",,"US",companies
"Eduvention Mentoring and Consulting",,"US",companies
"Center for Life Management",,"US",companies
"High Plains Mental Health Center",,"US",companies
"Azza HealthCare Agency",,"US",companies
"Humboldt Park Health Careers",,"US",companies
"Regional Health Care Affiliates, Inc",,"Clay County, Kentucky, US",companies
"PORTER ELITE Precision Psychiatry and Wellness Center LLC",,"US",companies
"Community Physicians",,"US",companies
"The Childrens Center of Hamden",,"US",companies
"Chemical Abuse Services Agency Inc",,"US",companies
"Premier Community Healthcare Grp.",,"US",companies
"Lynn Community Health Center",,"US",companies
"Ctrlcare Behavioral Health",,"US",companies
"The Florida Psychiatric Center",,"US",companies
"IMed Staffing",,"US",companies
"Pair Team",,"US",companies
"UNM Medical Group, Inc.",,"US",companies
"LanceSoft",,"US",companies
"Community Health Centers Of The Rutland Region",,"US",companies
"Whitefoord Health Center",,"US",companies
"ODHS",,"Muncie, Delaware, US",companies
"Open Door Health Services",,"Muncie, Delaware, US",companies
"PeaceHealth",,"US",companies
"UCHealth",,"US",companies
"Advocate Health and Hospitals Corporation",,"US",companies
"Highmark Health",,"US",companies
"Maxor National Pharmacy Services, LLC",,"Country Terrace, Delaware, US",companies
"Geisinger",,"US",companies
"Capstone Recruiting Advisors",,"US",companies
"NPHire",,"Michigan, US",companies
"Your Tailor Made Senior Service",,"US",companies
"North Memorial Healthcare",,"US",companies
"Alternative Community Resource Programs",,"US",companies
"MultiCare Health System",,"US",companies
"SonderMind",,"Georgia, US",companies
"CHE Behavioral",,"US",companies
"Immanuel",,"US",companies
"LifeStance Health",,"US",companies
"Modern Health",,"US",companies
"Northeast Rehabilitation Hospital Network",,"US",companies
"Psychiatry and wellness of Georgia llc",,"US",companies
"SolutionHealth",,"US",companies
"Pediatric Associates of Greater Salem Inc",,"US",companies
"Seldovia Village Tribe IRA",,"US",companies
"Universal Health Services",,"US",companies
"SWLA Center for Health Services",,"US",companies
"PACE Southeast Michigan",,"US",companies
"St. Joseph Area Post-Acute Care Practice",,"US",companies
"County of Monterey, CA",,"US",companies
"Bradford Healthcare",,"US",companies
"Behavioral Health Solutions",,"US",companies
"Confluence Health",,"US",companies
"Emerson Hospital",,"US",companies
"Peninsula Behavioral Health",,"US",companies
"The Provider Finder",,"US",companies
"Adecco US, Inc.",,"US",companies
"Athra Systems",,"US",companies
"University of Rochester",,"US",companies
"UnitedHealth Group",,"US",companies
"Providence Community Health",,"US",companies
"BrainCheck Inc.",,"US",companies
"Bay Area",,"US",companies
"Lake Charles Memorial Hospital",,"US",companies
"PATH INTEGRATED HEALTH",,"US",companies
"Uahsf",,"US",companies
"HCA Healthcare",,"US",companies
"Mantra Health",,"US",companies
"MindWell Urgent Care",,"Dallas, Texas, US",companies
"Cerebral",,"US",companies
"Luro health",,"California, US",companies
"Two Chairs",,"US",companies
"LifeSource, Inc",,"US",jobs
